Epoch: 1, gen_total_loss: 5519.603, gen_gan_loss: 1685.695, gen_l1_loss: 278.021, gen_tv_loss: 1415337.114, gen_f_loss: 10395413.911, disc_loss: 2452.381
Epoch: 2, gen_total_loss: 5177.270, gen_gan_loss: 1718.959, gen_l1_loss: 241.660, gen_tv_loss: 1747863.684, gen_f_loss: 10242324.962, disc_loss: 2396.880
Epoch: 3, gen_total_loss: 4901.679, gen_gan_loss: 1611.803, gen_l1_loss: 227.283, gen_tv_loss: 1810774.048, gen_f_loss: 9989426.282, disc_loss: 2487.910
Epoch: 4, gen_total_loss: 4782.210, gen_gan_loss: 1599.524, gen_l1_loss: 219.143, gen_tv_loss: 1867669.912, gen_f_loss: 9725840.235, disc_loss: 2482.761
Epoch: 5, gen_total_loss: 4731.001, gen_gan_loss: 1597.724, gen_l1_loss: 214.794, gen_tv_loss: 2030081.748, gen_f_loss: 9650351.185, disc_loss: 2469.621
Epoch: 6, gen_total_loss: 4675.608, gen_gan_loss: 1603.038, gen_l1_loss: 209.038, gen_tv_loss: 2078958.831, gen_f_loss: 9614016.084, disc_loss: 2474.374
Epoch: 7, gen_total_loss: 4763.543, gen_gan_loss: 1687.058, gen_l1_loss: 208.457, gen_tv_loss: 2189609.745, gen_f_loss: 9700207.022, disc_loss: 2389.460
Epoch: 8, gen_total_loss: 4801.700, gen_gan_loss: 1764.064, gen_l1_loss: 205.454, gen_tv_loss: 2280594.006, gen_f_loss: 9602866.434, disc_loss: 2346.424
Epoch: 9, gen_total_loss: 4891.572, gen_gan_loss: 1867.240, gen_l1_loss: 202.592, gen_tv_loss: 2239774.085, gen_f_loss: 9760193.032, disc_loss: 2271.237
Epoch: 10, gen_total_loss: 4927.552, gen_gan_loss: 1945.989, gen_l1_loss: 197.551, gen_tv_loss: 2362958.506, gen_f_loss: 9824214.230, disc_loss: 2208.534
Epoch: 11, gen_total_loss: 5040.667, gen_gan_loss: 2049.979, gen_l1_loss: 198.699, gen_tv_loss: 2387330.908, gen_f_loss: 9798240.633, disc_loss: 2149.155
Epoch: 12, gen_total_loss: 5091.371, gen_gan_loss: 2139.129, gen_l1_loss: 194.727, gen_tv_loss: 2426264.277, gen_f_loss: 9807113.877, disc_loss: 2115.927
Epoch: 13, gen_total_loss: 5156.071, gen_gan_loss: 2204.638, gen_l1_loss: 194.962, gen_tv_loss: 2376838.864, gen_f_loss: 9780411.678, disc_loss: 2071.754
Epoch: 14, gen_total_loss: 5160.801, gen_gan_loss: 2202.918, gen_l1_loss: 194.238, gen_tv_loss: 2377378.300, gen_f_loss: 9917299.252, disc_loss: 2084.349
Epoch: 15, gen_total_loss: 5128.849, gen_gan_loss: 2247.677, gen_l1_loss: 188.984, gen_tv_loss: 2362921.253, gen_f_loss: 9676978.646, disc_loss: 2043.596
