Epoch: 1, gen_total_loss: 27861.996, gen_gan_loss: 2339.625, gen_l1_loss: 255.224, disc_loss: 1994.826
Epoch: 2, gen_total_loss: 25096.338, gen_gan_loss: 2407.330, gen_l1_loss: 226.890, disc_loss: 1936.028
Epoch: 3, gen_total_loss: 24092.287, gen_gan_loss: 2399.712, gen_l1_loss: 216.926, disc_loss: 1950.115
Epoch: 4, gen_total_loss: 23457.131, gen_gan_loss: 2427.830, gen_l1_loss: 210.293, disc_loss: 1922.920
Epoch: 5, gen_total_loss: 22559.791, gen_gan_loss: 2458.278, gen_l1_loss: 201.015, disc_loss: 1907.667
Epoch: 6, gen_total_loss: 22090.152, gen_gan_loss: 2559.024, gen_l1_loss: 195.311, disc_loss: 1867.029
Epoch: 7, gen_total_loss: 21739.955, gen_gan_loss: 2563.541, gen_l1_loss: 191.764, disc_loss: 1860.178
Epoch: 8, gen_total_loss: 21402.169, gen_gan_loss: 2612.767, gen_l1_loss: 187.894, disc_loss: 1842.473
Epoch: 9, gen_total_loss: 21138.122, gen_gan_loss: 2662.166, gen_l1_loss: 184.760, disc_loss: 1836.340
Epoch: 10, gen_total_loss: 20671.606, gen_gan_loss: 2715.759, gen_l1_loss: 179.558, disc_loss: 1780.598
Epoch: 11, gen_total_loss: 20518.220, gen_gan_loss: 2823.675, gen_l1_loss: 176.945, disc_loss: 1758.401
Epoch: 12, gen_total_loss: 20482.223, gen_gan_loss: 2968.563, gen_l1_loss: 175.137, disc_loss: 1642.987
Epoch: 13, gen_total_loss: 20284.208, gen_gan_loss: 3076.153, gen_l1_loss: 172.081, disc_loss: 1658.529
Epoch: 14, gen_total_loss: 20292.105, gen_gan_loss: 3230.342, gen_l1_loss: 170.618, disc_loss: 1597.995
Epoch: 15, gen_total_loss: 20094.961, gen_gan_loss: 3265.680, gen_l1_loss: 168.293, disc_loss: 1541.235
Epoch: 16, gen_total_loss: 19858.824, gen_gan_loss: 3286.076, gen_l1_loss: 165.727, disc_loss: 1560.406
Epoch: 17, gen_total_loss: 19824.192, gen_gan_loss: 3381.124, gen_l1_loss: 164.431, disc_loss: 1550.106
Epoch: 18, gen_total_loss: 19652.969, gen_gan_loss: 3441.306, gen_l1_loss: 162.117, disc_loss: 1492.482
Epoch: 19, gen_total_loss: 19483.761, gen_gan_loss: 3499.644, gen_l1_loss: 159.841, disc_loss: 1491.209
Epoch: 20, gen_total_loss: 19280.989, gen_gan_loss: 3542.804, gen_l1_loss: 157.382, disc_loss: 1488.169
Epoch: 21, gen_total_loss: 19126.039, gen_gan_loss: 3531.667, gen_l1_loss: 155.944, disc_loss: 1507.011
Epoch: 22, gen_total_loss: 18825.940, gen_gan_loss: 3563.650, gen_l1_loss: 152.623, disc_loss: 1493.743
Epoch: 23, gen_total_loss: 18783.222, gen_gan_loss: 3574.114, gen_l1_loss: 152.091, disc_loss: 1516.020
Epoch: 24, gen_total_loss: 18351.944, gen_gan_loss: 3602.969, gen_l1_loss: 147.490, disc_loss: 1495.171
Epoch: 25, gen_total_loss: 18254.812, gen_gan_loss: 3615.422, gen_l1_loss: 146.394, disc_loss: 1471.125
Epoch: 26, gen_total_loss: 17993.928, gen_gan_loss: 3590.642, gen_l1_loss: 144.033, disc_loss: 1516.199
Epoch: 27, gen_total_loss: 17870.956, gen_gan_loss: 3712.278, gen_l1_loss: 141.587, disc_loss: 1451.910
Epoch: 28, gen_total_loss: 17624.352, gen_gan_loss: 3607.162, gen_l1_loss: 140.172, disc_loss: 1542.236
Epoch: 29, gen_total_loss: 17532.690, gen_gan_loss: 3681.189, gen_l1_loss: 138.515, disc_loss: 1462.743
Epoch: 30, gen_total_loss: 17340.620, gen_gan_loss: 3616.353, gen_l1_loss: 137.243, disc_loss: 1503.528
Epoch: 31, gen_total_loss: 17385.708, gen_gan_loss: 3717.474, gen_l1_loss: 136.682, disc_loss: 1458.488
Epoch: 32, gen_total_loss: 17233.321, gen_gan_loss: 3769.127, gen_l1_loss: 134.642, disc_loss: 1453.385
Epoch: 33, gen_total_loss: 17166.686, gen_gan_loss: 3820.754, gen_l1_loss: 133.459, disc_loss: 1419.794
Epoch: 34, gen_total_loss: 17073.271, gen_gan_loss: 3806.699, gen_l1_loss: 132.666, disc_loss: 1415.804
Epoch: 35, gen_total_loss: 16895.401, gen_gan_loss: 3806.632, gen_l1_loss: 130.888, disc_loss: 1488.918
Epoch: 36, gen_total_loss: 16999.902, gen_gan_loss: 3887.825, gen_l1_loss: 131.121, disc_loss: 1399.997
Epoch: 37, gen_total_loss: 16697.157, gen_gan_loss: 3807.106, gen_l1_loss: 128.901, disc_loss: 1453.669
Epoch: 38, gen_total_loss: 16548.950, gen_gan_loss: 3894.994, gen_l1_loss: 126.540, disc_loss: 1392.415
Epoch: 39, gen_total_loss: 16685.563, gen_gan_loss: 3935.322, gen_l1_loss: 127.502, disc_loss: 1411.052
Epoch: 40, gen_total_loss: 16687.406, gen_gan_loss: 3989.067, gen_l1_loss: 126.983, disc_loss: 1387.301
Epoch: 41, gen_total_loss: 16425.133, gen_gan_loss: 3924.223, gen_l1_loss: 125.009, disc_loss: 1416.943
Epoch: 42, gen_total_loss: 16349.511, gen_gan_loss: 3939.362, gen_l1_loss: 124.101, disc_loss: 1425.987
Epoch: 43, gen_total_loss: 16329.172, gen_gan_loss: 3985.530, gen_l1_loss: 123.436, disc_loss: 1387.760
Epoch: 44, gen_total_loss: 16253.141, gen_gan_loss: 3979.624, gen_l1_loss: 122.735, disc_loss: 1412.823
Epoch: 45, gen_total_loss: 16211.696, gen_gan_loss: 4003.302, gen_l1_loss: 122.084, disc_loss: 1399.458
Epoch: 46, gen_total_loss: 16108.684, gen_gan_loss: 3939.436, gen_l1_loss: 121.692, disc_loss: 1417.855
Epoch: 47, gen_total_loss: 16270.122, gen_gan_loss: 4147.916, gen_l1_loss: 121.222, disc_loss: 1337.824
Epoch: 48, gen_total_loss: 16224.372, gen_gan_loss: 4118.317, gen_l1_loss: 121.061, disc_loss: 1399.238
Epoch: 49, gen_total_loss: 16034.718, gen_gan_loss: 3998.078, gen_l1_loss: 120.366, disc_loss: 1398.005
Epoch: 50, gen_total_loss: 15758.062, gen_gan_loss: 3906.434, gen_l1_loss: 118.516, disc_loss: 1467.506
Epoch: 51, gen_total_loss: 15676.295, gen_gan_loss: 3869.222, gen_l1_loss: 118.071, disc_loss: 1482.993
Epoch: 52, gen_total_loss: 15769.100, gen_gan_loss: 4017.788, gen_l1_loss: 117.513, disc_loss: 1401.694
Epoch: 53, gen_total_loss: 15638.825, gen_gan_loss: 4038.070, gen_l1_loss: 116.008, disc_loss: 1389.536
Epoch: 54, gen_total_loss: 15550.638, gen_gan_loss: 3985.029, gen_l1_loss: 115.656, disc_loss: 1448.536
Epoch: 55, gen_total_loss: 15524.696, gen_gan_loss: 3975.904, gen_l1_loss: 115.488, disc_loss: 1401.147
Epoch: 56, gen_total_loss: 15466.958, gen_gan_loss: 3955.213, gen_l1_loss: 115.117, disc_loss: 1400.377
Epoch: 57, gen_total_loss: 15555.595, gen_gan_loss: 4122.513, gen_l1_loss: 114.331, disc_loss: 1382.170
Epoch: 58, gen_total_loss: 15457.859, gen_gan_loss: 4075.622, gen_l1_loss: 113.822, disc_loss: 1363.868
Epoch: 59, gen_total_loss: 15409.276, gen_gan_loss: 4077.111, gen_l1_loss: 113.322, disc_loss: 1388.045
Epoch: 60, gen_total_loss: 15569.920, gen_gan_loss: 4238.589, gen_l1_loss: 113.313, disc_loss: 1334.779
Epoch: 61, gen_total_loss: 15391.440, gen_gan_loss: 4156.917, gen_l1_loss: 112.345, disc_loss: 1377.683
Epoch: 62, gen_total_loss: 15328.252, gen_gan_loss: 4177.877, gen_l1_loss: 111.504, disc_loss: 1354.163
Epoch: 63, gen_total_loss: 15373.082, gen_gan_loss: 4227.471, gen_l1_loss: 111.456, disc_loss: 1355.703
Epoch: 64, gen_total_loss: 15270.404, gen_gan_loss: 4181.609, gen_l1_loss: 110.888, disc_loss: 1379.368
Epoch: 65, gen_total_loss: 15299.378, gen_gan_loss: 4205.111, gen_l1_loss: 110.943, disc_loss: 1340.586
Epoch: 66, gen_total_loss: 15210.854, gen_gan_loss: 4191.270, gen_l1_loss: 110.196, disc_loss: 1360.247
Epoch: 67, gen_total_loss: 15235.404, gen_gan_loss: 4236.535, gen_l1_loss: 109.989, disc_loss: 1348.099
Epoch: 68, gen_total_loss: 15164.829, gen_gan_loss: 4235.134, gen_l1_loss: 109.297, disc_loss: 1352.527
Epoch: 69, gen_total_loss: 15069.040, gen_gan_loss: 4161.391, gen_l1_loss: 109.076, disc_loss: 1356.363
Epoch: 70, gen_total_loss: 14883.010, gen_gan_loss: 4128.698, gen_l1_loss: 107.543, disc_loss: 1431.825
Epoch: 71, gen_total_loss: 14931.294, gen_gan_loss: 4149.113, gen_l1_loss: 107.822, disc_loss: 1366.603
Epoch: 72, gen_total_loss: 15115.270, gen_gan_loss: 4281.780, gen_l1_loss: 108.335, disc_loss: 1332.510
Epoch: 73, gen_total_loss: 14971.645, gen_gan_loss: 4238.264, gen_l1_loss: 107.334, disc_loss: 1382.777
Epoch: 74, gen_total_loss: 14949.430, gen_gan_loss: 4237.729, gen_l1_loss: 107.117, disc_loss: 1340.440
